file,natoms,formula,pubchem_cid,pubchem_url,status,energy_ev,ae_ev,lmdb_idx
geometries/natoms_30_cid_166.sdf,30,C9H13N5O3,166,https://pubchem.ncbi.nlm.nih.gov/compound/166,ok,-23128.906770277088,-135.9905096310722,0.0
geometries/natoms_31_cid_576.sdf,31,C15H10O6,576,https://pubchem.ncbi.nlm.nih.gov/compound/576,ok,-27989.950327745133,-159.82084876538647,1.0
geometries/natoms_32_cid_2.sdf,32,C9H18NO4+,2,https://pubchem.ncbi.nlm.nih.gov/compound/2,ok,-19294.76213347176,-131.8607001200471,2.0
geometries/natoms_33_cid_643.sdf,33,C10H18N2O3,643,https://pubchem.ncbi.nlm.nih.gov/compound/643,ok,-19781.281623086637,-145.8886356863295,3.0
geometries/natoms_34_cid_1250.sdf,34,C13H18N2O,1250,https://pubchem.ncbi.nlm.nih.gov/compound/1250,ok,-18796.39782586385,-156.49790197651237,4.0
geometries/natoms_35_cid_346.sdf,35,C12H16O7,346,https://pubchem.ncbi.nlm.nih.gov/compound/346,ok,-27025.02513686396,-159.86160464798013,5.0
geometries/natoms_36_cid_1249.sdf,36,C15H14O7,1249,https://pubchem.ncbi.nlm.nih.gov/compound/1249,ok,-30103.027205795534,-176.56601539595795,6.0
geometries/natoms_37_cid_653.sdf,37,C19H12O6,653,https://pubchem.ncbi.nlm.nih.gov/compound/653,ok,-32171.235304261114,-195.96835383646248,7.0
geometries/natoms_38_cid_347.sdf,38,C13H18O7,347,https://pubchem.ncbi.nlm.nih.gov/compound/347,ok,-28093.93153932862,-172.10273407995192,8.0
geometries/natoms_39_cid_1319.sdf,39,C20H16O3,1319,https://pubchem.ncbi.nlm.nih.gov/compound/1319,ok,-27134.658862363227,-201.49999156504782,9.0
geometries/natoms_40_cid_1332.sdf,40,C14H24O2+2,1332,https://pubchem.ncbi.nlm.nih.gov/compound/1332,ok,-18995.06549204154,-172.1354881159059,10.0
geometries/natoms_41_cid_672.sdf,41,C13H18N4O6,672,https://pubchem.ncbi.nlm.nih.gov/compound/672,ok,-32007.28879992497,-187.50881681045212,11.0
geometries/natoms_42_cid_1420.sdf,42,C13H26O3,1420,https://pubchem.ncbi.nlm.nih.gov/compound/1420,ok,-20042.357463300956,-179.76102098818956,12.0
geometries/natoms_43_cid_1219.sdf,43,C16H25NO,1219,https://pubchem.ncbi.nlm.nih.gov/compound/1219,ok,-20531.722613968766,-193.2230530761626,13.0
geometries/natoms_44_cid_1458.sdf,44,C14H21N5O4,1458,https://pubchem.ncbi.nlm.nih.gov/compound/1458,ok,-30489.747406922685,-198.6966903792454,14.0
geometries/natoms_45_cid_916.sdf,45,C12H28N4O,916,https://pubchem.ncbi.nlm.nih.gov/compound/916,ok,-20902.78685156038,-186.5380549198053,15.0
geometries/natoms_46_cid_1329.sdf,46,C16H24N4O2,1329,https://pubchem.ncbi.nlm.nih.gov/compound/1329,ok,-27033.049783816037,-211.20450545381755,16.0
geometries/natoms_47_cid_2193.sdf,47,C19H26O2,2193,https://pubchem.ncbi.nlm.nih.gov/compound/2193,ok,-24216.462371743306,-218.90416356869537,17.0
geometries/natoms_48_cid_1065.sdf,48,C20H24N2O2,1065,https://pubchem.ncbi.nlm.nih.gov/compound/1065,ok,-28196.55834585117,-226.71704068688268,18.0
geometries/natoms_49_cid_429.sdf,49,C17H22N4O6,429,https://pubchem.ncbi.nlm.nih.gov/compound/429,ok,-36220.25984972483,-228.16785493679345,19.0
geometries/natoms_50_cid_1285.sdf,50,C20H26O4,1285,https://pubchem.ncbi.nlm.nih.gov/compound/1285,ok,-29343.962894860797,-232.94869195693536,20.0
geometries/natoms_51_cid_1071.sdf,51,C20H30O,1071,https://pubchem.ncbi.nlm.nih.gov/compound/1071,ok,-23268.970084056906,-229.55469358358096,21.0
geometries/natoms_52_cid_1223.sdf,52,C20H29NO2,1223,https://pubchem.ncbi.nlm.nih.gov/compound/1223,ok,-26789.06514525041,-236.27094172169018,22.0
geometries/natoms_53_cid_826.sdf,53,C15H26N4O8,826,https://pubchem.ncbi.nlm.nih.gov/compound/826,ok,-38307.43223931157,-236.00736774924735,23.0
geometries/natoms_54_cid_1266.sdf,54,C26H21N5O2,1266,https://pubchem.ncbi.nlm.nih.gov/compound/1266,ok,-38837.14900580251,-276.17475753539475,24.0
geometries/natoms_55_cid_1247.sdf,55,C22H28O5,1247,https://pubchem.ncbi.nlm.nih.gov/compound/1247,ok,-33498.50522200754,-259.3523823043215,25.0
geometries/natoms_56_cid_258.sdf,56,C17H26N8O5,258,https://pubchem.ncbi.nlm.nih.gov/compound/258,ok,-40196.901086853126,-252.50883374198747,26.0
geometries/natoms_57_cid_143.sdf,57,C20H23N7O7,143,https://pubchem.ncbi.nlm.nih.gov/compound/143,ok,-45862.97509413146,-271.89064323296043,27.0
geometries/natoms_58_cid_530.sdf,58,C20H24N8O6,530,https://pubchem.ncbi.nlm.nih.gov/compound/530,ok,-45321.99313976582,-274.32059750849294,28.0
geometries/natoms_59_cid_1692.sdf,59,C27H24N4O4,1692,https://pubchem.ncbi.nlm.nih.gov/compound/1692,ok,-42526.172542475266,-295.96394134307775,29.0
geometries/natoms_60_cid_1659.sdf,60,C21H38O,1659,https://pubchem.ncbi.nlm.nih.gov/compound/1659,ok,-24436.611827206907,-259.0075430150391,30.0
geometries/natoms_61_cid_2342.sdf,61,C22H32N2O5,2342,https://pubchem.ncbi.nlm.nih.gov/compound/2342,ok,-36542.113997098735,-278.6451725240622,31.0
geometries/natoms_62_cid_2681.sdf,62,C19H42N+,2681,https://pubchem.ncbi.nlm.nih.gov/compound/2681,ok,-21869.509334411247,-253.53661412576912,32.0
geometries/natoms_63_cid_1631.sdf,63,C28H28N4O3,1631,https://pubchem.ncbi.nlm.nih.gov/compound/1631,ok,-41582.97276911071,-310.9069856798087,33.0
geometries/natoms_64_cid_2752.sdf,64,C27H28N2O7,2752,https://pubchem.ncbi.nlm.nih.gov/compound/2752,ok,-45748.52751954331,-307.9888494803308,34.0
geometries/natoms_65_cid_3263.sdf,65,C26H36O3,3263,https://pubchem.ncbi.nlm.nih.gov/compound/3263,ok,-33684.12630018546,-302.2776302766724,35.0
geometries/natoms_66_cid_3664.sdf,66,C30H26O10,3664,https://pubchem.ncbi.nlm.nih.gov/compound/3664,ok,-51987.93002750269,-330.1127107825523,36.0
geometries/natoms_67_cid_3497.sdf,67,C27H33N3O4,3497,https://pubchem.ncbi.nlm.nih.gov/compound/3497,ok,-41186.73849510322,-319.227915149364,37.0
geometries/natoms_68_cid_3503.sdf,68,C30H30O8,3503,https://pubchem.ncbi.nlm.nih.gov/compound/3503,ok,-47961.25225297106,-333.0511177188746,38.0
geometries/natoms_69_cid_2494.sdf,69,C27H37N3O2,2494,https://pubchem.ncbi.nlm.nih.gov/compound/2494,ok,-37156.4193370979,-318.5249386119831,39.0
geometries/natoms_70_cid_2787.sdf,70,C28H36O6,2787,https://pubchem.ncbi.nlm.nih.gov/compound/2787,ok,-41895.31305487336,-328.53502646864945,40.0
geometries/natoms_71_cid_2488.sdf,71,C28H38NO4+,2488,https://pubchem.ncbi.nlm.nih.gov/compound/2488,ok,-39319.813757537886,-324.8429986226329,41.0
