file,natoms,formula,pubchem_cid,pubchem_url
geometries/natoms_31_cid_1.sdf,31,C9H17NO4,1,https://pubchem.ncbi.nlm.nih.gov/compound/1
geometries/natoms_32_cid_2.sdf,32,C9H18NO4+,2,https://pubchem.ncbi.nlm.nih.gov/compound/2
geometries/natoms_57_cid_10.sdf,57,C20H23N7O7,10,https://pubchem.ncbi.nlm.nih.gov/compound/10
geometries/natoms_57_cid_14.sdf,57,C20H32O5,14,https://pubchem.ncbi.nlm.nih.gov/compound/14
geometries/natoms_38_cid_16.sdf,38,C12H22N2O2,16,https://pubchem.ncbi.nlm.nih.gov/compound/16
geometries/natoms_35_cid_25.sdf,35,C9H15N5O6,25,https://pubchem.ncbi.nlm.nih.gov/compound/25
geometries/natoms_30_cid_26.sdf,30,C9H11N5O5,26,https://pubchem.ncbi.nlm.nih.gov/compound/26
geometries/natoms_49_cid_92.sdf,49,C20H24N2O3,92,https://pubchem.ncbi.nlm.nih.gov/compound/92
geometries/natoms_55_cid_136.sdf,55,C20H22N7O6+,136,https://pubchem.ncbi.nlm.nih.gov/compound/136
geometries/natoms_31_cid_142.sdf,31,C10H13N5O3,142,https://pubchem.ncbi.nlm.nih.gov/compound/142
geometries/natoms_57_cid_143.sdf,57,C20H23N7O7,143,https://pubchem.ncbi.nlm.nih.gov/compound/143
geometries/natoms_58_cid_146.sdf,58,C20H25N7O6,146,https://pubchem.ncbi.nlm.nih.gov/compound/146
geometries/natoms_30_cid_166.sdf,30,C9H13N5O3,166,https://pubchem.ncbi.nlm.nih.gov/compound/166
geometries/natoms_37_cid_170.sdf,37,C14H14N6O3,170,https://pubchem.ncbi.nlm.nih.gov/compound/170
geometries/natoms_30_cid_173.sdf,30,C9H17NO3,173,https://pubchem.ncbi.nlm.nih.gov/compound/173
geometries/natoms_32_cid_191.sdf,32,C10H13N5O4,191,https://pubchem.ncbi.nlm.nih.gov/compound/191
geometries/natoms_38_cid_211.sdf,38,C14H18N2O4,211,https://pubchem.ncbi.nlm.nih.gov/compound/211
geometries/natoms_59_cid_214.sdf,59,C20H34O5,214,https://pubchem.ncbi.nlm.nih.gov/compound/214
geometries/natoms_35_cid_221.sdf,35,C9H16N4O6,221,https://pubchem.ncbi.nlm.nih.gov/compound/221
geometries/natoms_54_cid_231.sdf,54,C20H32O2,231,https://pubchem.ncbi.nlm.nih.gov/compound/231
geometries/natoms_79_cid_250.sdf,79,C33H36N4O6,250,https://pubchem.ncbi.nlm.nih.gov/compound/250
geometries/natoms_77_cid_251.sdf,77,C33H34N4O6,251,https://pubchem.ncbi.nlm.nih.gov/compound/251
geometries/natoms_30_cid_252.sdf,30,C9H13N5O3,252,https://pubchem.ncbi.nlm.nih.gov/compound/252
