sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,hessian_mre,asymmetry_mae,true_asymmetry_mae,eigval_mae,eigval_mre,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval_mre_eckart,eigval1_mae_eckart,eigval1_mre_eckart,eigval2_mae_eckart,eigval2_mre_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,eigvec_overlap_error,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,3212.6708984375,1717.258752,12607.63671875,420.25457763671875,0.16411645710468292,0.09490969032049179,2.61366605758667,0.07274916023015976,5.288182819640497e-06,0.4115249812602997,1.5278862714767456,8,0,0,0,1,4,0,0,0,1,0,0.17797521444137762,0.36139963831294825,1.7088582426877035,0.552632733903833,0.050609323457464855,0.3084289384025062,0.9076324339409911,0.2750562161383297,8.90441702986066,522.7811576945621,
1,22,1422.276611328125,1852.276224,10897.5703125,495.3441162109375,0.07893605530261993,0.07131236046552658,1.723040223121643,0.07303527742624283,2.7629250325844623e-05,0.30788496136665344,1.784156084060669,3,0,0,0,1,2,0,0,1,0,0,0.07661984755003891,0.35886581177986837,0.25452312900163887,0.2771344127801009,0.1446845551710691,0.5756168203904236,0.9836841167578643,0.9750815653003583,3.8175575947690823,197.23571820902328,
2,17,779.1083374023438,1235.275776,8323.07421875,489.59259033203125,0.05260789394378662,0.08498477935791016,2.365206480026245,0.08160906285047531,4.8154412070289254e-05,0.2732159495353699,1.7176460027694702,3,0,0,0,1,3,0,0,0,1,1,0.07037262416043197,0.18115231450439367,0.18385435397092764,0.6648908904427835,0.06379887957422221,0.4580193424451914,0.9657727114416033,0.9628757085202115,2.4405058522202316,300.8226321079176,
3,26,2184.17138671875,1503.715328,10964.6064453125,421.71563720703125,0.0331164188683033,0.03853434696793556,3.0856332778930664,0.04354992136359215,1.6137091733980924e-05,0.18507634103298187,2.6222331523895264,8,0,0,0,1,5,0,0,0,1,0,0.07636165907785691,0.4382724401937149,0.670540308901979,0.23723768598754427,0.024287666831054308,0.23553961077641727,0.9985693871880365,0.7779639313991205,6.361825821906547,218.41667737657136,
4,17,773.0995483398438,1426.664448,12381.994140625,728.3526000976562,0.03158002719283104,0.06999668478965759,3.3901124000549316,0.0807306170463562,6.393260264303535e-05,0.23361068964004517,2.5978894233703613,2,0,0,1,0,1,1,0,0,0,0,0.07036527285291336,0.15601914078261098,0.11093836158948313,0.8064397472483386,0.13073418935281167,1.815672626491335,0.39391699288902454,0.11176354624813781,3.2451400844238907,265.40445116786026,
5,19,964.05078125,1137.28512,8356.548828125,439.818359375,0.05441787466406822,0.0714346170425415,2.440964460372925,0.07982608675956726,5.4573207307839766e-05,0.1706485152244568,1.8275556564331055,5,0,0,0,1,3,0,0,0,1,0,0.07180840784098601,0.19635467610812413,0.0033487113843053695,0.0031301439430844367,0.21449384687266393,0.6993964692337274,0.993472000639059,0.9698875888891398,4.042276470473199,222.0805080654425,
6,19,964.4962768554688,1203.579904,9263.599609375,487.5578918457031,0.039125923067331314,0.06144407391548157,3.2104649543762207,0.07300496101379395,9.040585609909613e-06,0.1994001865386963,2.191190481185913,4,0,0,0,1,3,0,0,0,1,0,0.08558176705765376,0.10531268501659681,0.029336442156566958,0.32449850706355,0.007582618570071913,0.1650480108162138,0.8382280174076513,0.9125678721201154,5.273821390644549,264.28050013229904,
7,18,842.335205078125,1164.901376,10265.703125,570.3168334960938,0.06812098622322083,0.09752052277326584,1.5352258682250977,0.09378431737422943,2.0224943000357598e-05,0.31043654680252075,1.1721168756484985,3,0,0,0,1,1,1,0,0,0,0,0.09613391569910729,0.21334125966430081,0.18616853649205167,0.17951853838038356,0.2463744504229043,1.0287104376487317,0.9906388731442228,0.7561710517337923,4.791125335880097,374.5496457746585,
8,18,850.4300537109375,1130.190336,11945.197265625,663.6220703125,0.021685494109988213,0.0449608713388443,2.362184524536133,0.050277918577194214,3.451583324931562e-05,0.13139258325099945,3.1878223419189453,3,0,0,0,1,2,0,0,1,0,0,0.04383302958589674,0.14828694416996266,0.10870975460529925,0.5083693130243128,0.11312459046996733,0.8659857897875324,0.9960384291330002,0.9450550103106068,1.4746123060572796,115.55197874864739,
9,17,728.29638671875,1091.453952,8426.49609375,495.6762390136719,0.09532255679368973,0.14849638938903809,2.103329658508301,0.1631702184677124,2.4979570298455656e-05,0.4386489987373352,2.430220127105713,3,0,0,0,1,1,1,0,0,0,0,0.1743347705898974,0.289501221627556,0.03558968361331599,0.1566114163184294,0.07527308385772113,1.4789626581206108,0.9606250491471366,0.7404951547962879,4.5416720405707425,404.63231863038135,
10,18,841.0398559570312,1098.522624,8896.94140625,494.2745361328125,0.04834606871008873,0.07764202356338501,1.543253779411316,0.08257406949996948,1.6238285752478987e-05,0.20970650017261505,0.3574407398700714,3,0,0,0,1,3,0,0,0,1,1,0.12136871780407375,0.13899919040811917,0.1086322056057703,0.23872443441838223,0.27778307323440926,0.6398345912978995,0.15674323981058932,0.16673874871738492,4.286517323868673,296.9500150960704,
11,16,653.3231201171875,1052.70272,12356.7392578125,772.2962036132812,0.26598483324050903,0.31476274132728577,1.466671109199524,0.24142047762870789,0.00015020983119029552,1.2305216789245605,0.5433253049850464,3,0,0,0,1,1,1,0,0,0,0,0.16000532615703433,0.40520207976482314,1.8523724729674846,0.3284391454883436,0.20420485269349098,1.1361821335679658,0.9945951344655797,0.25791045930774087,4.740724664908245,454.04692571841207,
12,14,567.0789184570312,915.533312,9736.9365234375,695.4954833984375,0.06226946786046028,0.12494684010744095,1.0212843418121338,0.14533007144927979,6.798732647439465e-05,0.3454842269420624,4.746707439422607,2,0,0,1,0,2,0,0,1,0,1,0.08099875622924019,0.055832363940096275,0.08002797144254492,0.04517103912911959,0.06645664308527002,0.909848312386706,0.9975967396100531,0.9981273432428761,2.9553056807348845,115.44197826655086,
13,12,496.9164733886719,783.681024,8231.2548828125,685.9379272460938,0.026742275804281235,0.10294411331415176,3.906498670578003,0.11928028613328934,4.218440517433919e-05,0.336774617433548,2.94513201713562,3,0,0,0,1,2,0,0,1,0,0,0.12427570466869939,0.1911573232863544,0.10238826522027093,0.5088549859947722,0.10858474171780058,0.7746994617597972,0.10099432629282934,0.9104611396391561,4.011679462880264,297.4221720142468,
14,21,1245.613037109375,1081.928192,10427.4189453125,496.54376220703125,0.05624639615416527,0.06801854074001312,2.0212199687957764,0.07018117606639862,8.61528951645596e-06,0.2457069605588913,1.3378515243530273,2,0,0,1,0,1,1,0,0,0,0,0.07443740472090732,0.12811996386332358,0.21717476368497818,0.9931494594196852,0.08796498605582492,1.6155016937598767,0.7218452469121587,0.07084821337538463,3.343968196812255,213.34490071562965,
15,17,725.4323120117188,1200.415232,11713.263671875,689.0155029296875,0.15290400385856628,0.12954461574554443,1.6031259298324585,0.1277872771024704,5.1103110308758914e-05,0.3927500545978546,1.7350274324417114,4,0,0,0,1,3,0,0,0,1,0,0.08239781628989475,0.1385932360147709,0.034203205140831666,0.31873568424935184,0.04214833160400431,0.46585455288681465,0.8939566444048962,0.9594445487261177,3.5467637762508573,262.42569201605465,
16,20,1104.421875,1182.706176,12885.759765625,644.2880249023438,0.27081984281539917,0.1726338118314743,3.568424940109253,0.13671623170375824,2.2850521418149583e-05,0.819519579410553,0.5731611847877502,6,0,0,0,1,3,0,0,0,1,0,0.1852549699682512,0.41721728053029505,2.028583675073759,7.468175921122457,0.08166931335335093,0.7881280681130184,0.7323915488614469,0.6750843173187298,6.326318380241499,212.315091647082,
17,27,2399.8095703125,1667.386368,12000.27734375,444.4547119140625,0.049951836466789246,0.05182039365172386,4.6665496826171875,0.054433971643447876,9.08245419850573e-06,0.23597048223018646,9.474658012390137,5,0,0,0,1,1,1,0,0,0,0,0.11808244012328281,0.25472524613181835,0.13990400527597735,0.6423698275623582,0.12589375387372134,1.0056671013359635,0.9842355731615785,0.18881465692660243,6.840620659152234,299.4781907120334,
18,23,1600.6480712890625,1748.222464,11471.78125,498.7731018066406,0.04524191468954086,0.047273311764001846,2.042541027069092,0.05123833939433098,1.2137914382037707e-05,0.20289988815784454,11.254087448120117,5,0,0,0,1,3,0,0,0,1,0,0.07787343695179252,0.2441405922974673,0.16036189552660474,0.3602266567434967,0.11800732418656876,0.768566378272808,0.9934178455620866,0.9890224744388527,3.816655399329184,261.41912719942235,
19,22,1409.3013916015625,1507.0336,14495.2607421875,658.87548828125,0.04004649072885513,0.051749493926763535,1.5315088033676147,0.05777117982506752,3.070354796363972e-05,0.26403698325157166,1.1253613233566284,3,0,0,0,1,2,0,0,1,0,0,0.08418566974455934,0.8027232413947589,0.00268999184406693,0.012163155933380557,0.007699222839919409,0.35509944996460135,0.9907852184623377,0.4129081446755368,5.01979204930618,210.0372306967858,
20,18,876.7628784179688,1276.258304,8793.3603515625,488.52001953125,0.03909888491034508,0.06885923445224762,1.160271406173706,0.07549511641263962,1.572149085404817e-05,0.28031402826309204,1.551736831665039,2,0,0,1,0,1,1,0,0,0,0,0.11196859792574838,0.17823850503811103,0.13975557192424293,0.7237419738957149,0.16755863310225308,3.0162593909412467,0.9429916855556852,0.2932458674056522,3.181981038381077,302.9704014844524,
