sample_idx,natoms,time,memory,energy_mae,energy_mae_per_atom,forces_mae,hessian_mae,asymmetry_mae,true_asymmetry_mae,eigval_mae,true_neg_num,true_is_minima,true_is_ts,true_is_ts_order2,true_is_higher_order,model_neg_num,model_is_ts,model_is_minima,model_is_ts_order2,model_is_higher_order,neg_num_agree,eigval_mae_eckart,eigval1_mae_eckart,eigval2_mae_eckart,eigvec1_cos_eckart,eigvec2_cos_eckart,freq_mae_400_4000,freq_mae_400_4000_dataset
0,30,3036.064697265625,1727.458816,12606.884765625,420.2295227050781,0.17044176161289215,0.16301465034484863,0.00013132630556356162,5.288182819640497e-06,0.8760159015655518,8,0,0,0,1,8,0,0,0,1,1,"tensor(0.6513, dtype=torch.float64)","tensor(2.3202, dtype=torch.float64)","tensor(0.0032, dtype=torch.float64)","tensor(0.9528, dtype=torch.float64)","tensor(0.2477, dtype=torch.float64)",238.68340951989194,
1,22,1671.2861328125,2115.920384,10897.66015625,495.34820556640625,0.1831190586090088,0.247146874666214,0.00014600182475987822,2.7629250325844623e-05,1.332152009010315,3,0,0,0,1,5,0,0,0,1,0,"tensor(0.5251, dtype=torch.float64)","tensor(0.9691, dtype=torch.float64)","tensor(0.0758, dtype=torch.float64)","tensor(0.9578, dtype=torch.float64)","tensor(0.7052, dtype=torch.float64)",388.50110556698496,
2,17,1307.335693359375,1295.262208,8323.2333984375,489.6019592285156,0.1703587770462036,0.2962855100631714,9.100457828026265e-05,4.8154412070289254e-05,2.674082040786743,3,0,0,0,1,4,0,0,0,1,0,"tensor(0.7011, dtype=torch.float64)","tensor(0.9204, dtype=torch.float64)","tensor(0.1184, dtype=torch.float64)","tensor(0.9366, dtype=torch.float64)","tensor(0.1877, dtype=torch.float64)",848.0810402189569,
3,26,2144.523193359375,1625.424896,10964.8759765625,421.72601318359375,0.09146694839000702,0.15744009613990784,0.00010368583025410771,1.6137091733980924e-05,1.7069122791290283,8,0,0,0,1,11,0,0,0,1,0,"tensor(0.7071, dtype=torch.float64)","tensor(0.6576, dtype=torch.float64)","tensor(0.3231, dtype=torch.float64)","tensor(0.9783, dtype=torch.float64)","tensor(0.5518, dtype=torch.float64)",781.8718130663771,
4,17,1312.0133056640625,1531.972608,12382.2958984375,728.370361328125,0.1935265213251114,0.27792659401893616,9.184752707369626e-05,6.393260264303535e-05,2.1451284885406494,2,0,0,1,0,1,1,0,0,0,0,"tensor(0.5616, dtype=torch.float64)","tensor(0.0655, dtype=torch.float64)","tensor(0.0969, dtype=torch.float64)","tensor(0.1039, dtype=torch.float64)","tensor(0.0211, dtype=torch.float64)",139.07075841122114,
5,19,1431.6287841796875,1150.040576,8356.5078125,439.8161926269531,0.16965869069099426,0.21500763297080994,0.00012646825052797794,5.4573207307839766e-05,1.5753260850906372,5,0,0,0,1,6,0,0,0,1,0,"tensor(0.5508, dtype=torch.float64)","tensor(0.6273, dtype=torch.float64)","tensor(0.0046, dtype=torch.float64)","tensor(0.9559, dtype=torch.float64)","tensor(0.9154, dtype=torch.float64)",582.8537904662328,
6,19,1438.42919921875,1236.641792,9263.4326171875,487.5491027832031,0.10973486304283142,0.1871994286775589,9.920241427607834e-05,9.040585609909613e-06,1.2133997678756714,4,0,0,0,1,4,0,0,0,1,1,"tensor(0.6392, dtype=torch.float64)","tensor(0.0415, dtype=torch.float64)","tensor(0.0167, dtype=torch.float64)","tensor(0.8978, dtype=torch.float64)","tensor(0.1121, dtype=torch.float64)",406.4429755198774,
7,18,1360.0228271484375,1195.03104,10265.7841796875,570.3213500976562,0.18255770206451416,0.31582027673721313,0.00016341778973583132,2.0224943000357598e-05,1.9342575073242188,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.7322, dtype=torch.float64)","tensor(0.2921, dtype=torch.float64)","tensor(0.0147, dtype=torch.float64)","tensor(0.9749, dtype=torch.float64)","tensor(0.8579, dtype=torch.float64)",318.4242042101812,
8,18,1357.131591796875,1160.33024,11945.2177734375,663.6232299804688,0.07814522087574005,0.15945668518543243,0.00011954222281929106,3.451583324931562e-05,0.6040377616882324,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.1474, dtype=torch.float64)","tensor(0.0047, dtype=torch.float64)","tensor(0.0060, dtype=torch.float64)","tensor(0.9824, dtype=torch.float64)","tensor(0.9764, dtype=torch.float64)",188.12713025480616,
9,17,1278.4898681640625,1098.187264,8426.1220703125,495.65423583984375,0.14625518023967743,0.26918551325798035,0.00012012630031676963,2.4979570298455656e-05,1.6842496395111084,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.4359, dtype=torch.float64)","tensor(0.2868, dtype=torch.float64)","tensor(0.0196, dtype=torch.float64)","tensor(0.8981, dtype=torch.float64)","tensor(0.7934, dtype=torch.float64)",529.7382424888015,
10,18,1365.358642578125,1110.974464,8897.0244140625,494.2791442871094,0.12212096154689789,0.15948963165283203,0.00012227757542859763,1.6238285752478987e-05,0.6181935667991638,3,0,0,0,1,4,0,0,0,1,0,"tensor(0.3185, dtype=torch.float64)","tensor(0.4109, dtype=torch.float64)","tensor(0.1178, dtype=torch.float64)","tensor(0.9733, dtype=torch.float64)","tensor(0.9396, dtype=torch.float64)",152.35041787312048,
11,16,1210.0587158203125,1046.899712,12356.333984375,772.2708740234375,0.3567444980144501,0.5538761019706726,0.0001322449097642675,0.00015020983119029552,2.1679837703704834,3,0,0,0,1,2,0,0,1,0,0,"tensor(0.5151, dtype=torch.float64)","tensor(3.5729, dtype=torch.float64)","tensor(0.1138, dtype=torch.float64)","tensor(0.9719, dtype=torch.float64)","tensor(0.0358, dtype=torch.float64)",225.88019346618506,
12,14,1055.9703369140625,862.679552,9737.0751953125,695.5054321289062,0.17110304534435272,0.26761680841445923,0.0001914020103868097,6.798732647439465e-05,1.1174626350402832,2,0,0,1,0,3,0,0,0,1,0,"tensor(0.3456, dtype=torch.float64)","tensor(0.2639, dtype=torch.float64)","tensor(0.0875, dtype=torch.float64)","tensor(0.9730, dtype=torch.float64)","tensor(0.4679, dtype=torch.float64)",338.96803092689134,
13,12,907.7442626953125,711.12192,8231.1533203125,685.929443359375,0.12850196659564972,0.24812938272953033,0.00014662154717370868,4.218440517433919e-05,0.8024261593818665,3,0,0,0,1,3,0,0,0,1,1,"tensor(0.5873, dtype=torch.float64)","tensor(0.0054, dtype=torch.float64)","tensor(0.0187, dtype=torch.float64)","tensor(0.9876, dtype=torch.float64)","tensor(0.9535, dtype=torch.float64)",87.67328273400801,
14,21,1584.0145263671875,1103.68512,10427.4833984375,496.5468444824219,0.11564292013645172,0.2444762885570526,8.059424726525322e-05,8.61528951645596e-06,2.5468697547912598,2,0,0,1,0,2,0,0,1,0,1,"tensor(0.6938, dtype=torch.float64)","tensor(0.1641, dtype=torch.float64)","tensor(0.0264, dtype=torch.float64)","tensor(0.8563, dtype=torch.float64)","tensor(0.8954, dtype=torch.float64)",253.47468917315987,
15,17,1286.345703125,1245.625856,11713.626953125,689.036865234375,0.2240755259990692,0.39293164014816284,0.0001739493163768202,5.1103110308758914e-05,2.816511392593384,4,0,0,0,1,5,0,0,0,1,0,"tensor(0.8510, dtype=torch.float64)","tensor(0.2767, dtype=torch.float64)","tensor(0.0368, dtype=torch.float64)","tensor(0.6607, dtype=torch.float64)","tensor(0.2426, dtype=torch.float64)",984.5959461687062,
16,20,1531.791015625,1208.598528,12884.6015625,644.2301025390625,0.22870519757270813,0.32043975591659546,0.0001864385703811422,2.2850521418149583e-05,1.2631791830062866,6,0,0,0,1,6,0,0,0,1,1,"tensor(0.5864, dtype=torch.float64)","tensor(0.0155, dtype=torch.float64)","tensor(0.0112, dtype=torch.float64)","tensor(0.3917, dtype=torch.float64)","tensor(0.0465, dtype=torch.float64)",147.7467191922178,
