n_atoms,method,time,memory
4,prediction,29.937664031982422,246.092288
4,autograd,156.23065185546875,291.190272
4,prediction,29.07366371154785,244.755456
4,autograd,156.9259490966797,291.190272
4,prediction,29.53094482421875,244.755456
4,autograd,156.77542114257812,291.190272
5,prediction,31.40025520324707,246.87616
5,autograd,192.86732482910156,304.226304
5,prediction,29.26198387145996,246.87616
5,autograd,190.79449462890625,304.226304
5,prediction,29.952096939086914,246.87616
5,autograd,196.41949462890625,304.226304
5,prediction,29.827808380126953,246.87616
5,autograd,194.91305541992188,304.226304
5,prediction,29.7523193359375,246.87616
5,autograd,195.60134887695312,304.226304
5,prediction,29.750112533569336,246.87616
5,autograd,195.43959045410156,304.226304
5,prediction,30.34934425354004,246.87616
5,autograd,196.26300048828125,304.226304
5,prediction,29.831167221069336,246.87616
5,autograd,194.64089965820312,304.226304
5,prediction,29.825023651123047,246.87616
5,autograd,194.63558959960938,304.226304
6,prediction,30.933759689331055,249.524736
6,autograd,232.5062713623047,319.307264
6,prediction,29.916160583496094,249.524736
6,autograd,231.4885711669922,319.307264
6,prediction,29.834592819213867,249.524736
6,autograd,229.0023956298828,319.307264
6,prediction,30.078048706054688,249.524736
6,autograd,228.4083251953125,319.307264
6,prediction,29.693023681640625,249.524736
6,autograd,230.3170623779297,319.307264
6,prediction,30.007295608520508,249.524736
6,autograd,233.7064971923828,319.307264
6,prediction,29.79327964782715,249.524736
6,autograd,231.9615936279297,319.307264
6,prediction,29.77894401550293,249.524736
6,autograd,228.82293701171875,319.307264
6,prediction,29.684736251831055,249.524736
6,autograd,227.3625030517578,319.307264
6,prediction,29.717376708984375,249.524736
6,autograd,228.65817260742188,319.307264
6,prediction,29.758464813232422,249.524736
6,autograd,227.59149169921875,319.307264
6,prediction,29.861888885498047,249.524736
6,autograd,227.64576721191406,319.307264
6,prediction,29.034496307373047,249.524736
6,autograd,229.26028442382812,319.307264
6,prediction,28.95871925354004,249.524736
6,autograd,224.22093200683594,319.307264
6,prediction,28.843008041381836,249.524736
6,autograd,223.28729248046875,319.307264
6,prediction,29.114368438720703,249.524736
6,autograd,227.2716827392578,319.307264
6,prediction,28.90665626525879,249.524736
6,autograd,223.00282287597656,319.307264
6,prediction,29.02118492126465,249.524736
6,autograd,225.14585876464844,319.307264
6,prediction,29.084672927856445,249.524736
6,autograd,223.9754180908203,319.307264
6,prediction,29.221887588500977,249.524736
6,autograd,224.6260223388672,319.307264
6,prediction,29.09280014038086,249.524736
6,autograd,224.14437866210938,319.307264
6,prediction,28.91059112548828,249.524736
6,autograd,223.82867431640625,319.307264
6,prediction,29.933696746826172,249.524736
6,autograd,225.8206024169922,319.307264
